documentId,errorMessage,tableCount,cellCount
605e5736-1a53-418f-ac57-653fb2bfba78,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),6,0.0
fc73272a-adcf-4bbf-a1d8-4b27d6736c56,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),10,0.0
5f4f5a34-98bc-4912-a97d-727fb18c4931,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),14,0.0
ed0d2614-3ebc-47e3-9260-1ecbb7b0c427,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),6,0.0
da9f0d89-33dc-4aac-9cf7-a78d53460d01,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),8,0.0
501f593a-6960-44c2-a1b4-cf1afcb3cdc0,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),6,0.0
34f1f716-a11a-4e90-859b-08a19d91e324,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),19,0.0
8ca299d5-c264-40a2-a09e-ce788f21f769,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),10,0.0
8ea52b40-8d10-4d8d-8858-aed106df05ac,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),8,0.0
886d8d64-946e-40b2-8cd6-9e702f7c0654,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),6,0.0
2166844e-de61-4ad2-89eb-23e3d60e486e,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),12,0.0
cfb1404a-9fd0-42c5-89de-48ab6283d632,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),6,0.0
cfcd410e-9b45-431c-bf71-b9c93139ac44,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),10,0.0
